date,day_of_year,day_of_month,day_of_week,week_of_year,week_of_month,month_of_year,day_of_year_sin,day_of_year_cos,day_of_month_sin,day_of_month_cos,day_of_week_sin,day_of_week_cos,week_of_year_sin,week_of_year_cos,week_of_month_sin,week_of_month_cos,month_of_year_sin,month_of_year_cos
2023-12-23,357,23,6,51,4,12,-0.13727877211326517,0.9905324521322227,-0.9987165071710528,-0.05064916883871355,-0.7818314824680299,0.6234898018587334,-0.12053668025532363,0.992708874098054,-0.9510565162951536,0.30901699437494723,-2.4492935982947064e-16,1.0
2023-12-24,358,24,7,51,4,12,-0.12020804489935275,0.9927487224577402,-0.9884683243281114,0.15142777750457667,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,-0.9510565162951536,0.30901699437494723,-2.4492935982947064e-16,1.0
2023-12-25,359,25,1,52,4,12,-0.10310169744743544,0.9946708199115211,-0.9377521321470804,0.3473052528448203,0.7818314824680298,0.6234898018587336,6.432490598706546e-16,1.0,-0.9510565162951536,0.30901699437494723,-2.4492935982947064e-16,1.0
2023-12-26,360,26,2,52,4,12,-0.0859647987374467,0.9962981749346077,-0.848644257494751,0.5289640103269624,0.9749279121818236,-0.22252093395631434,6.432490598706546e-16,1.0,-0.9510565162951536,0.30901699437494723,-2.4492935982947064e-16,1.0
2023-12-27,361,27,3,52,4,12,-0.06880242680232064,0.9976303053065857,-0.72479278722912,0.6889669190756865,0.43388373911755823,-0.900968867902419,6.432490598706546e-16,1.0,-0.9510565162951536,0.30901699437494723,-2.4492935982947064e-16,1.0
2023-12-28,362,28,4,52,4,12,-0.05161966722325418,0.9986668162884759,-0.5712682150947924,0.8207634412072763,-0.433883739117558,-0.9009688679024191,6.432490598706546e-16,1.0,-0.9510565162951536,0.30901699437494723,-2.4492935982947064e-16,1.0
2023-12-29,363,29,5,52,5,12,-0.034421611622745804,0.9994074007397048,-0.3943558551133187,0.9189578116202306,-0.9749279121818236,-0.2225209339563146,6.432490598706546e-16,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2023-12-30,364,30,6,52,5,12,-0.01721335615583528,0.9998518392091162,-0.20129852008866114,0.9795299412524943,-0.7818314824680299,0.6234898018587334,6.432490598706546e-16,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2023-12-31,365,31,7,52,5,12,6.432490598706546e-16,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2024-01-01,1,1,1,1,1,1,0.017213356155834685,0.9998518392091162,0.20129852008866006,0.9795299412524945,0.7818314824680298,0.6234898018587336,0.12053668025532305,0.992708874098054,0.9510565162951535,0.30901699437494745,0.49999999999999994,0.8660254037844387
