date,open,high,low,close,volume
2023-11-17,36161.15,36831.99,35869.0,36630.38,12218.85138403
2023-11-18,36631.56,36857.15,36205.89,36594.89,3468.39821362
2023-11-19,36596.14,37546.62,36404.52,37391.19,4366.44892344
2023-11-20,37389.06,37784.07,36720.0,37475.64,14114.01039926
2023-11-21,37472.76,37675.77,35744.9,35751.89,20837.73934338
2023-11-22,35755.33,37875.0,35633.0,37424.31,17606.97239528
2023-11-23,37424.31,37653.67,36888.0,37304.05,7211.31754936
2023-11-24,37304.04,38454.0,37257.56,37745.84,17507.8900414
2023-11-25,37746.29,37920.27,37615.91,37805.99,3567.42244915
2023-11-26,37806.84,37842.17,37156.72,37462.79,6113.0562518
2023-11-27,37462.01,37578.42,36715.1,37241.63,13510.45476059
2023-11-28,37241.64,38425.96,36873.55,37838.26,18156.47258233
2023-11-29,37838.26,38480.0,37581.93,37863.84,15162.68883049
2023-11-30,37864.79,38152.18,37500.0,37732.27,8081.19248391
2023-12-01,37732.27,39000.0,37618.25,38703.54,16395.90197806
2023-12-02,38706.55,39740.0,38660.03,39478.95,7540.7688183
2023-12-03,39467.42,40221.22,39293.02,39984.81,7153.15663784
2023-12-04,39984.81,42410.46,39983.6,41987.24,21993.05995554
2023-12-05,41985.53,45000.0,41384.03,44084.39,24018.76035474
2023-12-06,44086.33,44290.37,43369.0,43764.05,15977.55938336
2023-12-07,43766.41,44057.23,42846.53,43280.95,13055.36691088
2023-12-08,43281.11,44754.99,43087.17,44192.87,13579.40860176
2023-12-09,44192.86,44384.68,43586.14,43723.25,5469.40708431
2023-12-10,43722.84,44049.51,43562.06,43793.68,3919.09423649
2023-12-11,43793.67,43811.81,40150.0,41229.61,25524.67094691
2023-12-12,41229.61,42088.56,40636.51,41477.39,13414.86773655
2023-12-13,41477.6,43475.0,40553.15,42885.54,15798.66423037
2023-12-14,42887.39,43442.15,41426.76,43027.77,15434.25971384
2023-12-15,43027.77,43095.71,41640.51,41933.89,10861.72864667
2023-12-16,41934.84,42680.2,41626.66,42237.29,5315.65582307
2023-12-17,42235.23,42367.82,41222.0,41349.59,6649.06495765
2023-12-18,41349.59,42754.79,40508.01,42650.01,13394.33474824
2023-12-19,42650.01,43461.86,41780.0,42266.22,13403.93447528
2023-12-20,42266.25,44324.86,42184.48,43674.77,19307.1089644
2023-12-21,43673.11,44250.0,43295.78,43875.32,13170.9728222
2023-12-22,43875.56,44424.36,43412.82,44013.73,10733.55348079
2023-12-23,44013.65,44033.84,43333.35,43726.35,4075.08953972
2023-12-24,43728.36,43985.67,42614.17,43025.03,4947.00165569
2023-12-25,43025.02,43818.29,42755.35,43589.67,4799.73104807
2023-12-26,43589.67,43605.0,41600.67,42515.53,13035.02745535
2023-12-27,42521.21,43709.98,42111.47,43474.4,12917.48404475
2023-12-28,43469.06,43830.34,42265.08,42581.23,13583.91599843
2023-12-29,42581.23,43137.1,41300.0,42063.45,16756.43323881
2023-12-30,42064.22,42593.73,41518.19,42141.03,11609.82377015
2023-12-31,42139.32,42850.0,41964.68,42288.06,11397.57303743
2024-01-01,42288.58,44240.8,42175.65,44220.78,7977.72851143
2024-01-02,44220.78,45925.82,44195.13,44972.8,29583.38407747
2024-01-03,44972.81,45519.32,40625.68,42862.44,32281.85234351
2024-01-04,42860.58,44800.0,42650.0,44193.29,18193.81684353
2024-01-05,44198.35,44443.37,42450.0,44186.59,18073.09561495
2024-01-06,44187.76,44260.95,43436.5,43992.44,5691.43460343
2024-01-07,43992.79,44510.01,43629.7,43950.28,5931.34650683
2024-01-08,43954.52,47330.0,43200.44,46995.1,26447.17326625
2024-01-09,46995.09,47901.0,44701.54,46124.08,26305.56366042
2024-01-10,46120.79,47732.5,44320.01,46666.11,36534.39765866
2024-01-11,46678.54,49102.29,45555.55,46342.66,38150.89478822
2024-01-12,46344.96,46522.2,41444.97,42773.03,46862.43347199
2024-01-13,42775.1,43250.0,42427.0,42839.33,10998.76404264
2024-01-14,42839.32,43064.13,41680.73,41697.33,7834.26155365
2024-01-15,41698.13,43331.91,41680.0,42490.16,10869.45830576
2024-01-16,42481.69,43569.23,42028.02,43130.45,18180.4405406
