open_time,close_time,open,high,low,close,volume,trades,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,dayofmonth_sin,dayofmonth_cos,dayofyear_sin,dayofyear_cos,weekofyear_sin,weekofyear_cos,weekofmonth_sin,weekofmonth_cos,monthofyear_sin,monthofyear_cos,willr_14,mfi_14,ultosc_7_14_28
2021-12-02T00:00:00.0,2021-12-03T00:00:00.0,57232.71,57413.52,55839.85,56547.96,2758.1446979100006,25650,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.39435585511331855,0.9189578116202306,-0.4787338401157883,0.8779600847008883,-0.4647231720437684,0.88545602565321,0.9510565162951535,0.30901699437494745,-2.4492935982947064e-16,1.0,-0.5223810829860716,0.34342898704993713,0.46454180956566016
2021-12-03T00:00:00.0,2021-12-04T00:00:00.0,56534.26,57652.0,51556.01,53743.69,2964.7681853100007,25316,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.5712682150947923,0.8207634412072763,-0.4635502709028512,0.8860706215341378,-0.4647231720437684,0.88545602565321,0.9510565162951535,0.30901699437494745,-2.4492935982947064e-16,1.0,-0.743667497018,0.34843087594314964,0.4963908440635304
2021-12-04T00:00:00.0,2021-12-05T00:00:00.0,53685.47,53877.77,41967.5,49234.97,10025.68966854,70073,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.72479278722912,0.6889669190756866,-0.4482293417404106,0.893918596519257,-0.4647231720437684,0.88545602565321,0.9510565162951535,0.30901699437494745,-2.4492935982947064e-16,1.0,-0.5989929951084393,0.2542165512029408,0.517621286445559
2021-12-05T00:00:00.0,2021-12-06T00:00:00.0,49240.81,49777.62,47836.34,49463.22,5156.66613697,66701,0.0,1.0,-2.4492935982947064e-16,1.0,0.8486442574947509,0.5289640103269624,-0.4327755925504317,0.9015016841318838,-0.4647231720437684,0.88545602565321,0.9510565162951535,0.30901699437494745,-2.4492935982947064e-16,1.0,-0.5728759242544422,0.31453035017293,0.5010582844643995
2021-12-06T00:00:00.0,2021-12-07T00:00:00.0,49484.0,50986.0,47111.0,50555.0,4652.11767659,40672,0.0,1.0,0.7818314824680298,0.6234898018587336,0.9377521321470804,0.3473052528448203,-0.41719360261231697,0.9088176373395028,-0.35460488704253595,0.9350162426854147,0.9510565162951535,0.30901699437494745,-2.4492935982947064e-16,1.0,-0.5086666342448627,0.3977697703791636,0.5430493569157276
2021-12-07T00:00:00.0,2021-12-08T00:00:00.0,50550.09,51991.0,50062.13,50627.32,1719.3176186199998,20234,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.9884683243281114,0.1514277775045767,-0.4014879892059737,0.9158642882672868,-0.35460488704253595,0.9350162426854147,0.9510565162951535,0.30901699437494745,-2.4492935982947064e-16,1.0,-0.5045288492071438,0.4442015408085467,0.5404808283647975
2021-12-08T00:00:00.0,2021-12-09T00:00:00.0,50635.87,51249.41,48656.2,50543.3,1598.43571319,16112,0.0,1.0,0.43388373911755823,-0.900968867902419,0.9987165071710528,-0.05064916883871264,-0.38566340624360745,0.9226395488404875,-0.35460488704253595,0.9350162426854147,0.5877852522924732,-0.8090169943749473,-2.4492935982947064e-16,1.0,-0.5093360491361971,0.4061857399883996,0.5656172792465162
2021-12-09T00:00:00.0,2021-12-10T00:00:00.0,50535.15,50839.01,47332.43,47593.12,2585.4327077599996,23064,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.9680771188662043,-0.2506525322587204,-0.3697245428906732,0.9291414114031743,-0.35460488704253595,0.9350162426854147,0.5877852522924732,-0.8090169943749473,-2.4492935982947064e-16,1.0,-0.6744903804426441,0.3666761435738609,0.5225697207764558
2021-12-10T00:00:00.0,2021-12-11T00:00:00.0,47573.43,50132.88,46886.0,47142.42,2705.16530403,22386,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.8978045395707416,-0.4403941515576344,-0.35367612217637207,0.935367949313148,-0.35460488704253595,0.9350162426854147,0.5877852522924732,-0.8090169943749473,-2.4492935982947064e-16,1.0,-0.7005687834514682,0.3918419350780753,0.5191292288409062
2021-12-11T00:00:00.0,2021-12-12T00:00:00.0,47179.53,49539.4,46789.0,49400.54,1323.03955982,13664,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.7907757369376989,-0.6121059825476626,-0.33752289959411347,0.941317317512847,-0.35460488704253595,0.9350162426854147,0.5877852522924732,-0.8090169943749473,-2.4492935982947064e-16,1.0,-0.5699094459713583,0.4212477340520603,0.5311442042645415
